lines	n	af1	af2	beta3	pmin	p80	pmax
1000	10000	0.2	0.1	1.0	2.190746e-66	6.227055e-41	9.879818e-29
1000	10000	0.2	0.1	2.0	1.422974e-162	6.884427e-128	3.606634e-108
1000	10000	0.2	0.1	5.0	0	2.499691e-305	2.16727e-273
1000	10000	0.2	0.2	0.1	1.867786e-07	0.2747107	0.9917568
1000	10000	0.2	0.2	0.2	2.883998e-12	0.001736445	0.745003
1000	10000	0.2	0.2	0.5	5.5814e-42	1.469566e-21	1.139853e-11
1000	10000	0.2	0.2	1.0	3.325272e-116	9.300758e-84	2.552694e-69
1000	10000	0.2	0.2	2.0	1.145343e-298	1.020522e-236	1.285692e-210
1000	10000	0.2	0.2	5.0	0	0	0
1000	100000	0.01	0.01	0.1	0.0006514064	0.8048577	0.9969693
1000	100000	0.01	0.01	0.2	0.0009733814	0.7696646	0.9993415
1000	100000	0.01	0.01	0.5	5.673665e-06	0.5448121	0.9967292
1000	100000	0.01	0.01	1.0	1.56128e-09	0.0437165	0.9118335
1000	100000	0.01	0.01	2.0	1.569221e-18	1.392125e-07	0.001646936
1000	100000	0.01	0.01	5.0	1.27787e-43	5.987372e-30	4.462611e-22
1000	100000	0.05	0.01	0.1	1.940679e-05	0.7756247	0.9997402
1000	100000	0.05	0.01	0.2	2.21298e-06	0.6498529	0.9973361
1000	100000	0.05	0.01	0.5	1.367869e-10	0.02775994	0.9963558
1000	100000	0.05	0.01	1.0	1.072716e-20	2.737133e-08	0.0002347515
1000	100000	0.05	0.01	2.0	1.257548e-58	3.741488e-37	2.055995e-27
1000	100000	0.05	0.01	5.0	3.108705e-158	1.438643e-129	4.73627e-112
1000	100000	0.05	0.05	0.1	1.517508e-05	0.5666738	0.9973673
1000	100000	0.05	0.05	0.2	1.65656e-10	0.07492111	0.9134798
1000	100000	0.05	0.05	0.5	5.510402e-23	1.294416e-09	0.0002039817
1000	100000	0.05	0.05	1.0	7.03609e-68	1.561814e-44	2.557867e-32
1000	100000	0.05	0.05	2.0	2.38452e-229	2.65686e-185	8.78511e-156
1000	100000	0.05	0.05	5.0	0	0	0
1000	100000	0.1	0.01	0.1	2.166117e-05	0.7257585	0.9998244
1000	100000	0.1	0.01	0.2	3.679085e-06	0.3955407	0.9998627
1000	100000	0.1	0.01	0.5	6.816573e-13	0.0003964261	0.2719769
1000	100000	0.1	0.01	1.0	1.043871e-34	7.579968e-18	1.120374e-10
1000	100000	0.1	0.01	2.0	1.818986e-105	1.669846e-73	1.85762e-57
1000	100000	0.1	0.01	5.0	8.571902e-267	1.27041e-223	1.262249e-193
1000	100000	0.1	0.05	0.1	8.589349e-07	0.2722763	0.9965514
1000	100000	0.1	0.05	0.2	4.935588e-11	0.003347339	0.6098605
1000	100000	0.1	0.05	0.5	5.752829e-42	1.194615e-20	3.041761e-12
1000	100000	0.1	0.05	1.0	2.902406e-133	9.712785e-95	4.318241e-75
1000	100000	0.1	0.05	2.0	0	0	0
1000	100000	0.1	0.05	5.0	0	0	0
1000	100000	0.1	0.1	0.1	2.071591e-11	0.06452899	0.8451877
1000	100000	0.1	0.1	0.2	7.678983e-21	2.113747e-06	0.06318125
1000	100000	0.1	0.1	0.5	2.023254e-74	2.589768e-45	1.286649e-33
1000	100000	0.1	0.1	1.0	5.341727e-255	5.259785e-201	9.160856e-175
1000	100000	0.1	0.1	2.0	0	0	0
1000	100000	0.1	0.1	5.0	0	0	0
1000	100000	0.2	0.01	0.1	7.657519e-06	0.5964797	0.9976546
1000	100000	0.2	0.01	0.2	2.982885e-09	0.1110567	0.9696435
1000	100000	0.2	0.01	0.5	1.200551e-22	1.045435e-08	0.0001526989
1000	100000	0.2	0.01	1.0	5.298775e-65	2.156811e-38	2.511857e-28
1000	100000	0.2	0.01	2.0	4.398289e-181	1.196583e-139	7.298713e-119
1000	100000	0.2	0.01	5.0	0	0	1.279419e-308
1000	100000	0.2	0.05	0.1	1.158744e-12	0.06228503	0.9696584
1000	100000	0.2	0.05	0.2	5.065941e-18	1.065283e-06	0.01284362
1000	100000	0.2	0.05	0.5	1.040328e-73	2.17866e-46	2.68752e-33
1000	100000	0.2	0.05	1.0	7.510827e-252	1.01429e-204	1.538646e-175
1000	100000	0.2	0.05	2.0	0	0	0
1000	100000	0.2	0.05	5.0	0	0	0
1000	100000	0.2	0.1	0.1	9.440232e-15	0.001294944	0.2590324
1000	100000	0.2	0.1	0.2	3.547901e-29	6.783161e-14	1.633939e-06
1000	100000	0.2	0.1	0.5	2.904446e-138	3.196855e-101	1.953676e-78
1000	100000	0.2	0.1	1.0	0	0	0
1000	100000	0.2	0.1	2.0	0	0	0
1000	100000	0.2	0.1	5.0	0	0	0
1000	100000	0.2	0.2	0.1	4.384715e-21	1.83481e-07	0.007112612
1000	100000	0.2	0.2	0.2	1.054524e-56	4.056868e-31	3.083431e-18
1000	100000	0.2	0.2	0.5	1.463248e-288	8.361944e-225	1.094668e-195
1000	100000	0.2	0.2	1.0	0	0	0
1000	100000	0.2	0.2	2.0	0	0	0
1000	100000	0.2	0.2	5.0	0	0	0
1000	1000000	0.01	0.01	0.1	4.914348e-05	0.7646794	0.9980086
1000	1000000	0.01	0.01	0.2	9.397358e-06	0.5254261	0.995131
1000	1000000	0.01	0.01	0.5	3.644368e-12	0.001924711	0.419971
1000	1000000	0.01	0.01	1.0	2.105155e-34	1.877136e-15	6.002385e-08
1000	1000000	0.01	0.01	2.0	9.608327e-106	1.891742e-75	1.677019e-59
1000	1000000	0.01	0.01	5.0	0	2.801184e-299	2.018116e-281
1000	1000000	0.05	0.01	0.1	4.109807e-06	0.3990231	0.997653
1000	1000000	0.05	0.01	0.2	1.188227e-11	0.006499053	0.4936592
1000	1000000	0.05	0.01	0.5	2.645873e-35	1.956378e-17	9.791076e-11
1000	1000000	0.05	0.01	1.0	1.624341e-115	9.114214e-84	7.692881e-70
1000	1000000	0.05	0.01	2.0	0	0	0
1000	1000000	0.05	0.01	5.0	0	0	0
1000	1000000	0.05	0.05	0.1	8.328803e-15	0.001812308	0.2334608
1000	1000000	0.05	0.05	0.2	1.5221e-29	4.124665e-13	4.182605e-07
1000	1000000	0.05	0.05	0.5	1.663636e-136	1.114006e-97	6.516369e-76
1000	1000000	0.05	0.05	1.0	0	0	0
1000	1000000	0.05	0.05	2.0	0	0	0
1000	1000000	0.05	0.05	5.0	0	0	0
1000	1000000	0.1	0.01	0.1	6.308308e-09	0.09770936	0.960159
1000	1000000	0.1	0.01	0.2	6.262776e-18	1.781007e-05	0.06064653
1000	1000000	0.1	0.01	0.5	6.876739e-69	3.171912e-38	7.081273e-27
1000	1000000	0.1	0.01	1.0	3.70255e-234	2.151283e-183	1.936341e-157
1000	1000000	0.1	0.01	2.0	0	0	0
1000	1000000	0.1	0.01	5.0	0	0	0
1000	1000000	0.1	0.05	0.1	1.114036e-18	5.086158e-07	0.01433015
1000	1000000	0.1	0.05	0.2	3.956918e-51	7.629324e-29	4.519214e-21
1000	1000000	0.1	0.05	0.5	2.729201e-272	5.731288e-215	1.032279e-175
1000	1000000	0.1	0.05	1.0	0	0	0
1000	1000000	0.1	0.05	2.0	0	0	0
1000	1000000	0.1	0.05	5.0	0	0	0
1000	1000000	0.1	0.1	0.1	2.857814e-32	1.022059e-14	6.886489e-09
1000	1000000	0.1	0.1	0.2	2.697313e-93	3.478664e-63	1.400262e-48
1000	1000000	0.1	0.1	0.5	0	0	0
1000	1000000	0.1	0.1	1.0	0	0	0
1000	1000000	0.1	0.1	2.0	0	0	0
1000	1000000	0.1	0.1	5.0	0	0	0
1000	1000000	0.2	0.01	0.1	9.031081e-14	0.003708182	0.9767198
1000	1000000	0.2	0.01	0.2	9.370985e-29	7.614481e-12	1.654495e-05
1000	1000000	0.2	0.01	0.5	7.171955e-122	1.094395e-86	1.205739e-68
1000	1000000	0.2	0.01	1.0	0	0	0
1000	1000000	0.2	0.01	2.0	0	0	0
1000	1000000	0.2	0.01	5.0	0	0	0
1000	1000000	0.2	0.05	0.1	2.371463e-34	2.570178e-15	1.590074e-08
1000	1000000	0.2	0.05	0.2	7.90667e-99	4.444509e-66	4.649626e-50
1000	1000000	0.2	0.05	0.5	0	0	0
1000	1000000	0.2	0.05	1.0	0	0	0
1000	1000000	0.2	0.05	2.0	0	0	0
1000	1000000	0.2	0.05	5.0	0	0	0
1000	1000000	0.2	0.1	0.1	1.84835e-58	5.175893e-33	4.671984e-24
1000	1000000	0.2	0.1	0.2	1.137485e-202	5.551833e-144	8.19009e-119
1000	1000000	0.2	0.1	0.5	0	0	0
1000	1000000	0.2	0.1	1.0	0	0	0
1000	1000000	0.2	0.1	2.0	0	0	0
1000	1000000	0.2	0.1	5.0	0	0	0
1000	1000000	0.2	0.2	0.1	2.988515e-124	1.830696e-74	5.141632e-58
1000	1000000	0.2	0.2	0.2	0	0	9.311518e-286
1000	1000000	0.2	0.2	0.5	0	0	0
1000	1000000	0.2	0.2	1.0	0	0	0
1000	1000000	0.2	0.2	2.0	0	0	0
1000	1000000	0.2	0.2	5.0	0	0	0
1000	20000	0.01	0.01	0.1	0.0021437	0.8393889	1
1000	20000	0.01	0.01	0.2	0.002193814	0.7793626	1
1000	20000	0.01	0.01	0.5	0.0001336485	0.7743602	1
1000	20000	0.01	0.01	1.0	2.775933e-05	0.5186383	0.9996695
1000	20000	0.01	0.01	2.0	4.172849e-07	0.04228885	1
1000	20000	0.01	0.01	5.0	1.929049e-13	1.723178e-06	0.003917417
1000	20000	0.05	0.01	0.1	0.0006310659	0.7902939	0.9993735
1000	20000	0.05	0.01	0.2	0.0001627009	0.7655245	0.9999917
1000	20000	0.05	0.01	0.5	2.276934e-05	0.5401555	0.989029
1000	20000	0.05	0.01	1.0	1.186146e-09	0.03493849	0.9272887
1000	20000	0.05	0.01	2.0	9.816654e-21	1.062993e-07	0.0004212594
1000	20000	0.05	0.01	5.0	1.344403e-38	4.066745e-26	2.362556e-18
1000	20000	0.05	0.05	0.1	1.870352e-06	0.7743012	0.9990677
1000	20000	0.05	0.05	0.2	1.701433e-05	0.6433048	0.999716
1000	20000	0.05	0.05	0.5	1.375933e-09	0.02405232	0.7683268
1000	20000	0.05	0.05	1.0	4.037835e-23	8.942946e-09	0.0001431189
1000	20000	0.05	0.05	2.0	5.717251e-58	1.79263e-36	4.295417e-28
1000	20000	0.05	0.05	5.0	3.709704e-146	6.754428e-116	2.177192e-103
1000	20000	0.1	0.01	0.1	0.0002374402	0.7878328	0.9984751
1000	20000	0.1	0.01	0.2	0.0001602634	0.7490945	0.9982126
1000	20000	0.1	0.01	0.5	2.439791e-06	0.3016194	0.9996564
1000	20000	0.1	0.01	1.0	2.903812e-12	0.0008945008	0.2718105
1000	20000	0.1	0.01	2.0	1.567909e-27	8.861701e-15	2.204658e-08
1000	20000	0.1	0.01	5.0	1.041537e-62	2.332534e-44	1.107278e-34
1000	20000	0.1	0.05	0.1	2.841488e-05	0.7622748	0.9995253
1000	20000	0.1	0.05	0.2	1.4525e-06	0.3806869	0.9998569
