	A_A	A_R	A_N	A_D	A_C	A_E	A_Q	A_G	A_H	A_I	A_L	A_K	A_M	A_F	A_P	A_S	A_T	A_W	A_Y	A_V	R_A	R_R	R_N	R_D	R_C	R_E	R_Q	R_G	R_H	R_I	R_L	R_K	R_M	R_F	R_P	R_S	R_T	R_W	R_Y	R_V	N_A	N_R	N_N	N_D	N_C	N_E	N_Q	N_G	N_H	N_I	N_L	N_K	N_M	N_F	N_P	N_S	N_T	N_W	N_Y	N_V	D_A	D_R	D_N	D_D	D_C	D_E	D_Q	D_G	D_H	D_I	D_L	D_K	D_M	D_F	D_P	D_S	D_T	D_W	D_Y	D_V	C_A	C_R	C_N	C_D	C_C	C_E	C_Q	C_G	C_H	C_I	C_L	C_K	C_M	C_F	C_P	C_S	C_T	C_W	C_Y	C_V	E_A	E_R	E_N	E_D	E_C	E_E	E_Q	E_G	E_H	E_I	E_L	E_K	E_M	E_F	E_P	E_S	E_T	E_W	E_Y	E_V	Q_A	Q_R	Q_N	Q_D	Q_C	Q_E	Q_Q	Q_G	Q_H	Q_I	Q_L	Q_K	Q_M	Q_F	Q_P	Q_S	Q_T	Q_W	Q_Y	Q_V	G_A	G_R	G_N	G_D	G_C	G_E	G_Q	G_G	G_H	G_I	G_L	G_K	G_M	G_F	G_P	G_S	G_T	G_W	G_Y	G_V	H_A	H_R	H_N	H_D	H_C	H_E	H_Q	H_G	H_H	H_I	H_L	H_K	H_M	H_F	H_P	H_S	H_T	H_W	H_Y	H_V	I_A	I_R	I_N	I_D	I_C	I_E	I_Q	I_G	I_H	I_I	I_L	I_K	I_M	I_F	I_P	I_S	I_T	I_W	I_Y	I_V	L_A	L_R	L_N	L_D	L_C	L_E	L_Q	L_G	L_H	L_I	L_L	L_K	L_M	L_F	L_P	L_S	L_T	L_W	L_Y	L_V	K_A	K_R	K_N	K_D	K_C	K_E	K_Q	K_G	K_H	K_I	K_L	K_K	K_M	K_F	K_P	K_S	K_T	K_W	K_Y	K_V	M_A	M_R	M_N	M_D	M_C	M_E	M_Q	M_G	M_H	M_I	M_L	M_K	M_M	M_F	M_P	M_S	M_T	M_W	M_Y	M_V	F_A	F_R	F_N	F_D	F_C	F_E	F_Q	F_G	F_H	F_I	F_L	F_K	F_M	F_F	F_P	F_S	F_T	F_W	F_Y	F_V	P_A	P_R	P_N	P_D	P_C	P_E	P_Q	P_G	P_H	P_I	P_L	P_K	P_M	P_F	P_P	P_S	P_T	P_W	P_Y	P_V	S_A	S_R	S_N	S_D	S_C	S_E	S_Q	S_G	S_H	S_I	S_L	S_K	S_M	S_F	S_P	S_S	S_T	S_W	S_Y	S_V	T_A	T_R	T_N	T_D	T_C	T_E	T_Q	T_G	T_H	T_I	T_L	T_K	T_M	T_F	T_P	T_S	T_T	T_W	T_Y	T_V	W_A	W_R	W_N	W_D	W_C	W_E	W_Q	W_G	W_H	W_I	W_L	W_K	W_M	W_F	W_P	W_S	W_T	W_W	W_Y	W_V	Y_A	Y_R	Y_N	Y_D	Y_C	Y_E	Y_Q	Y_G	Y_H	Y_I	Y_L	Y_K	Y_M	Y_F	Y_P	Y_S	Y_T	Y_W	Y_Y	Y_V	V_A	V_R	V_N	V_D	V_C	V_E	V_Q	V_G	V_H	V_I	V_L	V_K	V_M	V_F	V_P	V_S	V_T	V_W	V_Y	V_V
I_L	 	 	 	 	 	 	 	 	1	2	15	 	 	1	 	 	 	 	 	3	 	 	 	 	 	 	 	 	 	 	4	 	 	 	 	 	 	 	 	4	 	 	 	 	 	 	 	 	 	1	5	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	2	 	1	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	1	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	465	4	9	3	1	4	1	19	 	9	180	-2584	4	89	91	5	15	13	5	11	179	 	1	 	1	1	 	2	 	1	13	234	 	5	7	 	2	 	 	1	14	 	 	 	 	 	 	 	 	 	 	4	 	 	 	 	 	 	 	 	5	 	 	 	 	 	 	 	 	 	4	104	 	4	2	 	 	 	 	1	8	 	 	 	 	 	 	1	 	 	3	45	 	1	3	 	1	 	 	 	2	 	 	 	 	 	 	 	 	 	1	2	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	3	11	 	1	 	 	 	1	 	 	8	1	 	 	 	 	 	3	 	1	2	67	 	3	1	1	1	1	 	 	2	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	8	 	 	 	 	 	 	 	 	47	4	3	1	 	1	1	1	 	4	22	888	1	9	13	2	2	1	1	5	25
I_K	 	1	 	 	 	2	 	1	1	 	 	31	 	 	1	 	 	 	 	4	 	1	3	 	 	1	1	 	 	 	 	8	 	 	 	1	 	 	 	2	 	1	1	 	 	1	3	 	 	 	 	18	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	3	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	2	 	1	 	 	 	 	 	 	 	 	 	12	 	 	 	1	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	7	 	 	 	1	 	 	 	1	 	2	 	 	 	 	 	 	 	 	 	4	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	6	 	 	 	 	 	 	 	459	23	388	61	6	7	103	80	7	14	10	19	-3430	11	 	5	28	54	1	2	26	1	30	9	1	3	7	13	1	9	1	1	251	2	 	1	6	7	 	2	3	 	1	4	 	 	5	2	 	 	 	 	24	 	 	 	1	1	 	 	12	3	10	1	 	 	1	3	 	1	 	1	157	1	 	 	1	1	 	 	3	 	7	 	 	 	 	 	 	 	 	 	52	1	 	 	1	1	 	 	1	 	2	 	 	 	 	 	 	 	 	 	8	 	 	 	 	 	 	 	2	 	2	 	 	 	1	1	 	 	 	 	36	 	 	 	 	3	 	 	7	2	14	3	2	 	3	7	 	1	1	 	144	1	 	 	1	3	 	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	 	 	 	 	 	63	6	61	15	1	1	8	18	3	8	1	4	1219	2	1	2	12	23	 	1	3
I_M	 	 	 	 	 	 	 	 	 	5	5	 	22	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	4	1	 	 	 	 	 	5	 	 	 	 	 	 	 	 	 	1	2	 	20	 	 	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	275	36	15	2	1	 	4	10	4	 	245	394	48	-2438	10	 	14	130	8	1	321	2	1	 	 	 	 	 	 	 	9	15	1	117	1	 	3	2	 	 	16	 	 	 	 	 	1	 	 	 	 	 	 	1	 	 	 	 	 	 	13	 	 	 	 	 	 	1	 	 	3	1	 	25	4	4	 	1	 	 	12	1	 	 	 	 	 	 	 	1	1	8	16	61	16	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	1	3	 	4	 	 	 	 	 	 	3	1	 	 	 	1	 	 	 	 	4	5	1	37	1	 	1	3	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	30	6	1	1	 	 	 	6	1	 	28	30	3	554	3	 	3	17	 	 	26
I_F	 	 	 	 	 	 	 	 	 	 	1	 	 	22	 	 	 	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	14	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	4	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	318	5	2	2	 	6	 	1	1	11	62	169	 	2	-2405	1	17	3	3	212	41	1	 	 	 	2	 	 	 	1	2	8	 	3	191	 	1	1	 	10	5	 	 	 	 	 	 	 	 	 	 	1	 	 	6	 	 	 	 	 	3	 	 	 	 	 	 	 	 	 	1	5	 	1	69	 	 	1	 	3	5	 	 	 	 	 	 	 	 	 	1	2	 	 	100	 	 	 	 	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	10	 	 	 	 	1	8	 	 	 	 	 	 	 	 	 	1	1	 	 	93	 	 	 	 	9	2	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	44	 	 	 	 	4	1	1	 	1	4	26	 	4	1004	 	6	 	 	16	8
I_P	 	 	1	 	1	 	 	 	 	 	2	 	 	 	13	3	1	 	 	9	 	 	 	 	 	 	 	 	3	 	 	 	 	 	1	1	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	11	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	8	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	1	 	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	1	 	 	 	 	 	 	1	 	 	 	 	 	 	 	3	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	435	57	35	16	 	1	1	27	1	23	5	45	3	 	2	-2392	57	20	2	4	29	4	1	1	 	 	 	1	 	3	1	1	 	 	 	237	2	1	 	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	 	 	 	 	3	 	 	 	 	1	 	 	 	 	 	4	 	1	 	71	1	 	 	1	2	3	 	 	 	 	 	 	 	1	 	 	 	 	 	20	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	 	 	 	 	5	2	 	1	1	 	 	2	 	 	 	1	 	 	 	90	1	 	 	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	1	 	 	 	 	3	 	 	 	 	68	6	15	6	2	 	3	1	 	7	1	8	2	 	1	1215	6	1	 	1	4
I_S	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 	20	3	 	1	2	1	 	1	1	1	 	 	 	 	 	 	 	 	 	 	12	 	 	 	1	 	 	4	1	 	 	 	 	 	1	 	 	 	1	 	17	2	 	 	 	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	3	1	 	 	6	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	 	 	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	 	 	2	4	 	 	 	1	 	 	 	 	 	 	 	 	 	 	4	1	 	 	2	 	 	 	 	 	 	 	 	 	1	 	 	 	3	 	3	1	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	484	349	23	199	19	58	13	34	69	8	12	29	20	2	21	38	-3401	293	5	17	34	14	5	9	1	6	2	1	2	2	2	6	1	 	2	4	214	18	 	2	4	1	 	1	 	 	 	1	 	 	1	 	1	1	 	 	5	2	 	 	1	8	 	1	1	1	1	 	14	 	1	1	 	 	1	2	116	6	 	3	3	2	 	2	 	1	1	 	2	 	 	1	 	 	2	 	43	2	 	 	2	 	 	1	 	2	 	 	 	 	 	 	 	 	5	 	3	1	 	1	2	1	 	1	1	 	1	 	3	 	 	 	1	 	 	 	30	1	 	 	7	13	2	12	4	1	1	 	2	1	1	3	7	1	1	 	99	8	 	2	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	 	 	 	1	1	 	 	 	 	1	 	 	 	1	 	 	 	1	 	1	1	 	 	39	28	12	13	7	7	3	3	21	2	3	3	5	1	4	5	978	36	 	3	2
I_T	1	 	1	 	 	1	 	 	 	1	 	1	1	1	 	2	12	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	3	 	 	1	1	 	1	 	 	 	 	 	 	 	 	 	1	 	 	1	11	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	1	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	6	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	 	 	385	146	29	38	5	38	14	13	6	9	117	15	49	54	3	5	234	-2610	 	1	71	10	1	2	 	3	1	 	 	1	6	4	5	2	 	1	12	209	 	 	9	 	 	 	 	 	 	 	 	 	2	1	 	5	 	 	1	2	 	 	3	4	 	 	 	 	1	 	1	 	2	1	1	2	3	1	2	91	 	1	7	2	 	1	 	7	 	 	 	 	 	1	 	 	 	 	5	30	 	 	2	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	7	 	 	3	1	3	 	1	 	1	1	 	 	1	 	 	 	 	 	 	18	 	 	5	7	2	1	2	1	1	1	 	 	1	2	2	1	 	 	4	98	 	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	 	 	39	19	4	12	3	1	3	6	2	1	8	6	5	12	 	1	36	791	 	 	17
I_W	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	 	355	1	61	 	 	21	 	9	2	11	11	38	15	14	10	 	12	1	-1995	27	36	 	5	 	 	1	 	 	 	 	 	5	9	 	 	 	10	 	284	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	 	1	 	 	 	 	 	 	 	 	 	 	5	 	 	 	 	 	 	80	1	1	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	55	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	14	 	5	 	2	 	 	2	 	1	 	 	 	 	 	 	3	 	 	 	79	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	2	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	8	 	37	 	8	 	 	2	 	1	2	1	 	7	2	 	1	 	2	 	851	23	2
I_Y	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	1	 	 	10	2	 	 	 	 	1	 	 	 	1	 	 	 	 	 	 	 	 	 	14	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	8	 	 	 	 	 	 	 	 	 	1	 	 	 	 	1	 	1	 	 	4	1	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	397	3	8	8	8	23	9	3	 	141	7	23	3	1	326	2	32	5	6	-2645	18	1	1	1	4	3	 	1	 	12	2	3	1	 	11	 	7	 	 	239	2	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	14	3	 	 	 	 	3	1	1	 	1	 	 	 	 	8	 	2	 	 	79	2	 	1	 	 	1	 	 	 	2	 	1	 	 	1	 	 	 	 	27	1	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	2	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	16	21	1	 	2	 	1	 	 	 	3	 	 	 	 	9	 	9	 	 	136	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	41	 	2	2	2	3	 	1	 	21	 	5	1	 	21	2	2	1	1	1044	1
I_V	1	 	 	 	 	 	 	1	 	3	1	1	 	1	 	1	 	 	1	14	 	1	 	1	 	2	1	1	 	1	3	 	 	1	 	 	1	 	1	8	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	5	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	 	1	 	1	 	 	 	 	 	1	1	1	 	1	1	1	1	 	 	2	1	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	3	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	332	91	5	3	4	5	10	4	6	1	613	124	9	38	18	3	8	36	1	4	-5139	114	182	80	99	61	121	89	104	61	224	316	123	75	123	37	116	105	55	150	496	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	1	21	4	2	1	1	2	1	2	1	1	9	7	2	2	3	1	1	1	1	2	80	4	2	1	1	1	2	1	1	1	5	10	1	1	2	 	1	2	1	2	33	1	1	 	2	 	1	 	1	 	1	1	 	 	 	2	1	1	 	1	9	1	1	 	 	 	1	1	1	 	1	1	 	 	 	 	 	1	 	1	14	1	 	 	1	1	1	1	1	 	3	2	1	1	1	 	1	1	 	1	48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	2	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	38	22	5	1	2	1	4	5	4	1	37	31	3	6	6	3	4	8	 	2	744
L_A	10	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	1	 	 	3	13	 	 	1	 	1	 	 	 	 	 	 	 	 	 	1	1	 	 	2	1	 	 	 	 	 	 	1	 	 	 	 	 	 	 	3	 	 	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	14	1	 	 	1	 	 	 	 	 	 	 	 	 	1	1	2	 	 	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	 	 	14	166	 	 	1	4	1	 	7	 	1	2	1	 	 	1	8	6	 	 	409	-2254	6	11	45	25	22	6	94	3	22	13	16	13	7	40	229	236	 	1	280	4	 	 	 	 	1	 	 	 	 	 	 	 	 	 	1	1	 	 	8	115	1	 	1	 	 	 	13	1	1	2	 	6	 	6	5	6	 	 	14	116	1	 	1	1	1	 	5	1	2	1	 	1	 	1	3	3	 	 	15	8	 	 	 	 	 	 	1	 	 	 	 	 	 	1	1	1	 	 	3	10	1	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	 	 	1	14	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	2	 	 	4	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	11	219	4	1	1	1	1	1	2	 	5	2	 	2	 	1	7	11	 	 	5
L_R	 	11	 	 	1	1	1	 	1	1	1	2	 	 	2	 	 	 	 	6	 	31	 	 	1	 	3	1	1	 	 	2	 	 	 	1	1	1	 	1	 	2	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	3	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	1	 	4	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	1	 	11	 	 	 	 	1	1	 	 	 	 	 	 	 	 	 	 	 	3	 	29	 	 	1	 	1	1	 	 	1	4	 	 	 	 	 	 	1	3	 	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	14	 	 	 	 	 	1	 	 	 	1	 	 	 	 	 	 	 	6	 	142	2	 	1	 	3	1	2	 	2	9	 	 	 	1	1	1	1	548	5	-2241	26	4	44	11	168	22	84	8	36	369	5	1	19	47	32	26	7	9	 	5	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	19	1	131	1	 	1	 	5	 	1	1	4	9	1	 	 	1	1	1	1	9	 	73	 	 	1	 	5	 	2	 	 	6	 	 	1	1	1	 	1	5	 	50	 	 	2	 	3	2	1	 	1	2	 	 	 	1	 	 	 	3	 	15	 	 	 	 	1	 	 	 	1	5	 	 	 	1	 	 	 	3	 	10	 	 	 	 	1	 	 	 	 	1	 	 	 	 	 	 	 	1	 	2	 	 	 	 	1	 	 	 	 	1	 	 	 	 	 	 	 	4	 	11	1	 	3	 	1	1	 	 	 	1	 	 	1	 	 	 	 	23	1	146	1	 	1	1	7	2	1	1	2	10	 	 	1	2	1	1	2	2
L_N	1	 	10	 	 	 	 	 	1	 	 	 	 	 	 	1	 	 	 	1	 	1	29	2	 	 	 	 	1	 	 	 	 	 	 	5	1	 	 	1	 	 	2	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	2	 	 	1	1	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	2	1	 	5	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	2	 	 	 	 	 	 	 	 	1	 	 	 	2	 	 	 	3	 	 	23	2	 	 	 	 	 	 	 	1	 	 	 	1	2	 	1	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	15	 	 	 	 	 	 	 	 	1	 	 	 	3	 	 	 	11	1	1	186	4	1	 	1	 	2	1	4	4	1	 	 	5	2	 	1	385	27	31	-2018	176	13	31	17	17	73	28	18	59	3	4	1	252	74	 	28	10	 	 	5	1	 	1	 	 	 	 	 	 	 	 	 	1	 	 	 	7	1	1	117	2	 	1	1	 	4	 	 	2	 	 	 	4	1	 	 	7	1	1	90	4	1	 	 	 	1	2	 	2	 	 	 	6	1	 	2	6	 	 	29	6	 	 	 	1	2	 	 	1	 	 	1	2	 	 	 	10	2	 	31	8	 	2	 	 	1	 	 	1	 	 	 	2	 	 	 	2	 	1	16	1	 	1	 	 	1	 	 	 	 	 	 	1	 	 	 	 	1	 	5	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	2	 	 	7	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	8	1	1	150	3	1	1	 	1	2	1	 	2	 	 	 	9	5	 	 	1
L_D	1	 	1	9	 	1	1	1	 	 	 	 	 	 	 	 	 	 	 	6	 	 	1	57	 	4	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	2	15	 	 	 	3	 	 	 	 	 	 	 	 	 	 	 	2	1	 	1	22	 	2	 	1	 	 	 	 	 	 	 	1	1	 	 	1	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	2	19	 	3	 	 	1	1	 	 	 	 	 	 	 	 	 	13	1	3	14	251	 	7	1	5	1	1	 	1	 	 	 	1	1	 	 	400	45	8	225	-2089	3	255	25	41	27	6	2	21	1	2	9	45	9	 	6	14	 	 	1	14	 	2	 	 	 	 	 	 	 	 	 	 	 	 	2	6	 	1	8	120	 	9	1	2	1	 	 	 	 	 	 	4	 	 	 	6	2	2	7	92	 	5	 	2	1	2	 	 	2	 	 	1	5	 	 	16	1	 	2	20	 	3	 	2	 	 	 	 	 	 	 	 	 	 	 	2	 	1	4	34	 	3	 	1	 	 	 	 	 	 	 	 	 	 	1	3	 	1	2	21	 	1	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	 	 	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	 	1	8	 	1	1	 	 	 	1	 	 	 	 	 	 	 	 	10	1	 	7	169	1	13	1	2	1	 	 	 	 	 	 	1	 	 	1	1
L_C	 	 	 	 	5	 	 	 	 	 	 	 	 	 	 	1	 	 	 	15	 	 	 	 	38	1	 	 	 	 	 	 	 	 	 	1	 	1	2	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	1	 	 	 	2	 	 	 	1	47	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	2	 	 	 	3	 	 	 	 	5	1	 	 	 	1	 	 	 	1	 	 	 	 	1	22	2	4	1	 	200	 	 	 	2	1	1	1	 	 	 	2	1	 	2	509	36	89	13	7	-1958	3	28	28	29	13	13	11	2	18	2	165	11	16	80	15	 	 	 	 	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	11	 	4	1	 	226	 	 	1	1	2	 	 	 	1	 	2	1	2	2	10	 	2	1	 	135	 	 	1	1	 	3	 	 	1	 	8	 	1	1	1	 	1	 	 	14	 	 	 	 	 	 	 	 	 	 	1	 	1	 	2	2	 	 	 	22	 	 	 	1	 	 	 	 	 	 	2	 	 	1	2	 	 	 	 	9	 	 	 	 	 	 	 	 	1	 	1	 	 	 	1	 	 	 	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	23	1	10	1	 	155	 	1	3	1	1	1	 	 	1	 	3	1	 	1	1
