pos.dist	dist	count.threshold	p.threshold	count
71	23.53626075318238	336427	0.04574294365666721	7354730
72	23.629739855137633	330703	0.045227793108862185	7311942
73	23.71983256120602	328110	0.04513642657231547	7269295
74	23.80801762451237	324615	0.04491840131643856	7226771
75	23.89588231292381	317594	0.04420605756917766	7184400
76	23.984856447341603	308411	0.043181464331478445	7142208
77	24.072596135139058	310823	0.043776179436379736	7100277
78	24.163685316523168	309905	0.043905307738798374	7058486
79	24.254914483828454	305947	0.04360196989631765	7016816
80	24.35018437269646	302515	0.043369641122187226	6975271
81	24.447529355174296	299061	0.043130677323587885	6933835
82	24.547958578625312	291659	0.04231545828193079	6892493
83	24.649629667008202	285695	0.041699574195670906	6851269
84	24.753013074774188	279499	0.04104149140761366	6810157
85	24.860183893586857	277452	0.04098772844086139	6769148
86	24.970550016771952	267541	0.03976364248704201	6728282
87	25.07934295095091	263194	0.03935573551146576	6687564
88	25.191315089932736	257754	0.03877754611071386	6646991
89	25.302168335471332	247898	0.03752298471641234	6606564
90	25.414205336513845	246418	0.03752764491938085	6566306
91	25.522988301764094	243612	0.03732806148958903	6526243
92	25.63452604689475	231947	0.03575927583253743	6486345
93	25.74600923718855	228512	0.035446676804245805	6446641
94	25.855993166838328	215777	0.03367759520709559	6407138
95	25.959983551891668	210283	0.033022890969322975	6367795
96	26.06048874370469	205633	0.032492354619257355	6328658
97	26.158458373182896	197786	0.031446034911703204	6289696
98	26.250691775562792	197133	0.03153667816792174	6250912
99	26.338755238195283	198094	0.03188718452099926	6212339
100	26.42113638801866	191114	0.030954192285147723	6174091
101	26.500250299720676	190286	0.03100958874642296	6136360
102	26.573762288658	184859	0.0303108063216557	6098782
103	26.645188788471916	179636	0.029636434158021276	6061323
104	26.713447128823805	175681	0.02916359491718353	6023983
105	26.777344607153164	172561	0.02882332818649935	5986852
106	26.844601871403245	167774	0.028197789575923893	5949899
107	26.913366999469623	164581	0.027833459579240067	5913063
108	26.979566885288637	162207	0.02760289419681852	5876449
109	27.048987536960603	156904	0.02686729810913153	5839962
110	27.125651828570973	152574	0.026289512711663625	5803607
111	27.19942373355377	148158	0.025688952110333597	5767382
112	27.27430003569697	144246	0.025168261253272838	5731266
113	27.353981770002637	138968	0.024400560534435626	5695279
114	27.434246254583446	134163	0.023706160442377878	5659415
115	27.51454817267509	132003	0.023472199056794672	5623802
116	27.589778196666668	131055	0.02345095823168806	5588471
117	27.666480464687556	131146	0.023615612890214212	5553360
118	27.74388617009071	127290	0.023066627379646352	5518362
119	27.815865660657153	128830	0.02349410158176232	5483504
120	27.88765720953461	124610	0.02286940251598298	5448765
121	27.962553644513072	122711	0.022664948446943747	5414131
122	28.03840440142965	123793	0.023011382541812262	5379642
123	28.109825407903788	125845	0.023543385720149412	5345238
124	28.184188217463507	121360	0.02285082923693557	5310967
